ボルト,,,,
,,,,
呼び径,7.90,mm,0.0079,m
ピッチ,1.25,mm,0.00125,m
円筒部長さ,26.80,mm,0.0268,m
遊びねじ部長さ,13.2,mm,0.0132,m
ねじ部有効径,7.188,mm,0.007188,m
円筒部断面積,,,4.90167E-05,㎡
ねじ部の有効断面積,,,4.05794E-05,㎡
ボルト材料の縦弾性係数,206,Gpa,2.06E+11,Pa
ボルトナット系の引張ばね定数,,,186424745.7,N/m
ナット回転角の1°当たりの締め込み量,,,3.47222E-06,m
,,,,
被締結物,,,,
外径,15.6,mm,0.0156,m
内径,8.4,mm,0.0084,m
長さ,40,mm,0.04,m
被締結物材料の縦弾性係数,206,Gpa,2.06E+11,Pa
被締結物材料のポアソン比,,,0.3,
被締結物の圧縮ばね定数,,,698941533.6,N/m
座面の摩擦トルクの等価直径①,,,0.010864798,m,記載なし・不使用
座面の摩擦トルクの等価直径②,,,0.013185302,m,記載なし・不使用
d01,,,0.013,m,記載なし・不使用
d02,,,0.017,m,記載なし・不使用
di,,,0.0084,m
被締結物の圧縮ばね定数極断面係数,,,6.83E-07,m^3
被締結物の断面積,,,1.357E-04,m^2
,,,,
へたり係数,,,147170725.5,N/m
内外力比,,,0.210562284,
