b [ mm ],h [ mm ],Iy [ mm4 ],Z [ mm3 ],,,,E [ MPa ]
10.25,9.98,849.1,170.2,,,,203162 
l1 [ mm ],l [ mm ],l2 [ mm ],xS [ mm ],xD [ mm ],,,203.1623184
600.5,903,302.5,491.5,491.5,,,
,,0.952,,,,,
W [ kgf ],εS  ×10-6,"δD [ mm ]
実測値",W [ N ],MS [ N･mm ],σS  [ MPa ],εS,"δD [ mm ]
計算値"
0,0 ,0.000,0.00,0.0,0.00,0.000000 ,0.000
0.31,-12 ,0.237,3.04,500.5,2.94,0.000012 ,0.233
0.81,-35 ,0.620,7.94,1307.9,7.69,0.000035 ,0.610
1.31,-56 ,0.997,12.85,2115.2,12.43,0.000056 ,0.986
1.81,-80 ,1.403,17.75,2922.5,17.18,0.000080 ,1.362
2.31,-104 ,1.793,22.65,3729.9,21.92,0.000104 ,1.738
2.81,-127 ,2.178,27.56,4537.2,26.67,0.000127 ,2.114
3.31,-151 ,2.569,32.46,5344.5,31.41,0.000151 ,2.491
3.81,-175 ,2.955,37.36,6151.9,36.16,0.000175 ,2.867
4.31,-198 ,3.333,42.27,6959.2,40.90,0.000198 ,3.243
4.81,-221 ,3.724,47.17,7766.5,45.64,0.000221 ,3.619
