"b
[ mm ]","t
[ mm ]","A
[ mm2 ]",,,"E
[ MPa ]",n,,,,,
40.01,8.94,357.7,,,221272 ,#VALUE!,,,,,
,,,,,,,,,,,
"P
[ kgf ]","e1
 ×10-6","e2
 ×10-6","P 
[ N ]","s1
[ MPa ]",e1,e2,,,,,
0,0,,0,0.0,0.000000 ,0.000000 ,,,,,
250,28,,2452,6.9,0.000028 ,0.000000 ,,,,,
500,5,,4903,13.7,0.000005 ,0.000000 ,,,,,
750,37,,7355,20.6,0.000037 ,0.000000 ,,,,,
1000,68,,9807,27.4,0.000068 ,0.000000 ,,,,,
1250,107,,12258,34.3,0.000107 ,0.000000 ,,,,,
1500,137,,14710,41.1,0.000137 ,0.000000 ,,,,,
1750,172,,17162,48.0,0.000172 ,0.000000 ,,,,,
2000,202,,19613,54.8,0.000202 ,0.000000 ,,,,,
2250,237,,22065,61.7,0.000237 ,0.000000 ,,,,,
2500,270,,24517,68.5,0.000270 ,0.000000 ,,,,,
