副尺,T1,T2,β=T1-T2,βave=βの平均,頂角α=βave/2,60分法を度数法に変換,sin(α/2),,,ラジアン
V,272:11:00,152:16:00,119度55分00秒,119度54分30秒,59度57分15秒,59.95416667,0.49965,,,57.29577951
V',92:12:00,332:18:00,119度54分00秒,,,,,,,
,,,,,,,,,,
赤,,,,,,,,,,
副尺,T1,T2,γ=T1-T2,γave=γの平均,δmin=γave/2,60分法を度数法に変換,sin((δmin+α)/2),屈折率n,,
V,266:50:00,165:36:00,101度14分00秒,101度13分30秒,50度36分45秒,50.613,0.82198,1.645096625,,
V',86:51:00,345:38:00,101度13分00秒,,,,,,,
,,,,,,,,,,
青,,,,,,,,,,
副尺,T1,T2,γ=T1-T2,γave=γの平均,δmin=γave/2,60分法を度数法に変換,sin((δmin+α)/2),屈折率n,,
V,269:5:00,163:19:00,105度46分00秒,105度46分30秒,52度53分15秒,52.888,0.83312,1.6674,,
V',89:7:00,343:20:00,105度47分00秒,,,,,,,
, ,,,,,,,,,
,絶対屈折率,,n_g=n×n_a,n_a=1.000277,,空気の屈折率➔,1.000277,,,
赤,1.6456,,,,,,,,,
青,1.6679,,,,,,屈折率が変わるのはなぜ,,,
,,,,,,,波長により屈折率が変化することを知る,,,
分をラジアンに直すと小数第４位から差が出てくるため、屈折率の有効桁は５桁になる。,,,,,,,Uターンする位置で止める理由,,,
,,,,,,,なんで波長によって屈折率が変わるのか,,,←大事
,,,,,,,プリズムの材質を推測してみよう,,,
