赤,,,,緑,,,,青,,,,,,,,,,,,,,,,,
距離[m],光電流mA,電圧[V],,距離[m],光電流,電圧[V],,距離[m],光電流,電圧[V],,,v(ニュー),eV0,λ[nm],,,,,,,,,,
0,200,0,,0.35,200,0.49,,0.61,200,0.854,,赤,4.72441E+14,7.84E-20,635,,,,,,,,,,
0.05,150,0.07,,0.4,82,0.56,,0.64,127,0.896,,緑,5.6391E+14,1.3664E-19,532,,,,,,,,,,
0.1,99,0.14,,0.45,29,0.63,,0.67,74,0.938,,青,6.66667E+14,1.67328E-19,450,,,,,,,,,,
0.15,50,0.21,,0.5,9,0.7,,0.7,38,0.98,,,,,,,,,,,,,,,
0.2,20,0.28,,0.52,6,0.728,,0.73,10,1.022,,e=,1.6E-19,,,,,,,,,,,,
0.25,8,0.35,,0.54,4,0.756,,0.74,4,1.036,,c=,300000000,,,,,,,,,,,,
0.27,6,0.378,,0.56,3,0.784,,0.744,1,1.0416,,ν=,c/λ,,,,,,,,,,,,
0.29,3,0.406,,0.58,1,0.812,,0.747,0,1.0458,←V0,,,,,,,,,,,,,,
0.31,2,0.434,,0.59,1,0.826,,,,,,,,,,,,,,,,,,,
0.33,1,0.462,,0.6,0.2,0.84,,,,,,,,,,,,,,,,,,,
0.34,1,0.476,,0.61,0,0.854,←V0,,,,,,,,,,,,,,,,,,
0.35,0,0.49,←V0,,,0,,,,,,,,,,,,,,,,,,,
,,0,,,,0,,,,,,,0.71,,,,,,,,,,,,
,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,最小二乗法,,,,,誤差率=,31.39235696,％
,,,,,,,,,,,,,,,,,,,Xi[Hz],Yi[J],,,,,
,,,,,,,,,,,,,,,,,,赤,4.72441E+14,7.84E-20,,,,,
,,,,,,,,,,,,,,,,,,緑,5.6391E+14,1.3664E-19,,,,,
,,,,,,,,,,,,,,,,,,青,6.66667E+14,1.67328E-19,,,,,
,,,,,,,,,,,,,,,,,,n=,3,,,,,,
,,,,,,,,,,,,,,,,,,∑Xi=,1.70302E+15,,,,,,
,,,,,,,,,,,,,,,,,,∑Yi=,3.82368E-19,,,,,,
,,,,,,,,,,,,,,,,,,∑Xi^2=,9.85639E+29,,,,,,
,,,,,,,,,,,,,,,,,,∑XiYi=,0.000225644,,,,,,
,,,,,,,,,,,,,,,,,,a=,4.54599E-34,プランク定数,,,,,
,,,,,,,,,,,,,,,,,,b=,-1.30607E-19,仕事関数,,,,,
